,IP,mount
811,1.1.25.7,1.2.10.210:/PQRST_VMVOL17
811,1.1.25.7,1.2.10.210:/PQRST_VMVOL38
811,1.1.25.7,1.2.10.210:/PQRST_VMVOL39
811,1.1.25.7,1.2.10.210:/PQRST_VMVOL40
811,1.1.25.7,1.2.10.210:/PQRST_VMVOL41
811,1.1.25.7,1.2.10.210:/PQRST_VMVOL43
811,1.1.25.7,1.2.10.210:/PQRST_VMVOL44
811,1.1.25.7,1.2.10.210:/PQRST_VMVOL45
811,1.1.25.7,1.2.10.210:/PQRST_VMVOL46
812,1.1.25.76,1.2.32.252:/PQRST_BRIC9_TEMPSTOR/
813,1.1.25.78,1.1.132.15:/abcd_Db_Backup_Vol1
813,1.1.25.78,1.1.132.15:/abcd_misc1/
813,1.1.25.78,1.1.132.15:/abcd_misc1//ntss1TB
813,1.1.25.78,1.1.132.15:/abcd_misc1//ntss2TB
813,1.1.25.78,1.1.132.15:/abcd_Db_Backup_Vol1//nas1TB
813,1.1.25.78,1.1.132.15:/abcd_Db_Backup_Vol1//nas2TB
813,1.1.25.78,1.1.132.15:/abcd-nas-db-vol1//db-backup-ntss
813,1.1.25.78,1.1.132.15:/abcd_Db_Backup_Vol1/var//nas2TB
814,1.1.25.80,1.2.32.252:/PQRST_VMVol18
815,1.1.25.81,1.2.32.252:/PQRST_VMVol18
816,1.1.25.94,1.1.132.15:/abcd-1
817,1.1.25.95,1.1.132.15:/abcd-1
818,1.1.25.96,1.1.132.15:/abcd-1
819,1.1.25.97,1.2.32.252:/PQRST_VMVOL22
820,1.1.25.98,1.2.32.252:/PQRST_VMVOL22
821,1.1.25.99,1.2.32.252:/PQRST_VMVOL22
822,1.1.3.103,1.1.132.15:/abcd-analytics3
822,1.1.3.103,1.1.132.15:/abcd-hijkl1
822,1.1.3.103,1.2.10.210:/PQRST_VMVOL05
822,1.1.3.103,1.2.10.210:/PQRST_VMVol18
823,1.1.3.105,1.1.132.15:/abcd-analytics3
823,1.1.3.105,1.1.132.15:/abcd-hijkl1
823,1.1.3.105,1.2.10.210:/PQRST_VMVOL05
823,1.1.3.105,1.2.10.210:/PQRST_VMVol18
824,1.1.3.107,1.1.132.15:/abcd-analytics3
824,1.1.3.107,1.1.132.15:/abcd-hijkl1
824,1.1.3.107,1.1.132.15:/abcd-analytics3
824,1.1.3.107,1.2.10.210:/PQRST_VMVol18
825,1.1.3.110,1.1.132.15:/abcd-analytics3
825,1.1.3.110,1.2.10.210:/PQRST_VMVOL05
826,1.1.3.111,1.1.132.15:/abcd-analytics3
826,1.1.3.111,1.1.132.15:/abcd-hijkl1
826,1.1.3.111,1.2.10.210:/PQRST_VMVOL05
826,1.1.3.111,1.2.10.210:/PQRST_VMVol18
827,1.1.3.112,1.1.132.15:/abcd-analytics3
827,1.1.3.112,1.2.10.210:/PQRST_VMVOL05
828,1.1.3.113,1.1.132.15:/abcd-analytics3
828,1.1.3.113,1.1.132.15:/abcd-hijkl1
828,1.1.3.113,1.2.10.210:/PQRST_VMVOL05
828,1.1.3.113,1.2.10.210:/PQRST_VMVol18
829,1.1.3.114,1.1.132.15:/abcd-analytics3
829,1.1.3.114,1.1.132.15:/abcd-hijkl1
829,1.1.3.114,1.2.10.210:/PQRST_VMVOL05
829,1.1.3.114,1.2.10.210:/PQRST_VMVol18
830,1.1.3.115,1.1.132.15:/abcd-analytics3
830,1.1.3.115,1.1.132.15:/abcd-hijkl1
830,1.1.3.115,1.2.10.210:/PQRST_VMVOL05
830,1.1.3.115,1.2.10.210:/PQRST_VMVol18
831,1.1.3.116,1.2.10.210:/PQRST_VMVOL05
831,1.1.3.116,1.2.10.210:/PQRST_VMVOL05
832,1.1.3.118,1.1.132.15:/abcd-analytics3
832,1.1.3.118,1.2.10.210:/PQRST_VMVol18
833,1.1.3.119,1.1.132.15:/abcd-analytics3
833,1.1.3.119,1.2.10.210:/PQRST_VMVol18
834,1.1.3.120,3.3.11.197:/static_Log_VOL3
834,1.1.3.120,1.1.132.15:/abcd-analytics1
834,1.1.3.120,1.1.132.15:/abcd-analytics3
834,1.1.3.120,1.1.132.15:/abcd-analytics2
834,1.1.3.120,1.1.132.15:/abcd-analytics1
834,1.1.3.120,1.1.132.15:/abcd-analytics2
834,1.1.3.120,1.1.132.15:/abcd-hijkl1
834,1.1.3.120,1.2.32.12:/xyz13
834,1.1.3.120,1.1.132.15:/abcd-analytics3
834,1.1.3.120,1.1.132.15:/abcd-analytics1
834,1.1.3.120,1.1.132.15:/abcd-analytics2
835,1.1.3.121,3.3.11.197:/static_Log_VOL3
835,1.1.3.121,1.1.132.15:/abcd-analytics1
835,1.1.3.121,1.1.132.15:/abcd-analytics3
835,1.1.3.121,1.1.132.15:/abcd-analytics2
835,1.1.3.121,1.1.132.15:/abcd-analytics1
835,1.1.3.121,1.1.132.15:/abcd-analytics2
835,1.1.3.121,1.1.132.15:/abcd-hijkl1
835,1.1.3.121,1.2.10.210:/PQRST_VMVol18
836,1.1.3.123,1.2.10.210:/PQRST_VMVol18
837,1.1.3.124,1.2.10.210:/PQRST_VMVol18
838,1.1.3.125,1.1.132.15:/abcd-analytics3
838,1.1.3.125,1.1.132.15:/abcd-hijkl1
838,1.1.3.125,1.2.10.210:/PQRST_VMVol18
839,1.1.3.126,1.1.132.15:/abcd-hijkl1
839,1.1.3.126,1.1.132.15:/abcd-analytics3
839,1.1.3.126,1.2.10.210:/PQRST_VMVol18
840,1.1.3.127,3.3.11.195:/SAS_DB_BACKUP_VOL1
841,1.1.3.128,3.3.11.195:/SAS_DB_BACKUP_VOL1
841,1.1.3.128,1.1.132.15:/abcd_Db_Backup_Vol1
841,1.1.3.128,1.1.132.15:/abcd-nas-db-vol1/
842,1.1.3.129,1.2.10.210:/PQRST_VMVOL05
842,1.1.3.129,1.1.132.30:/abcd-hijkl1
843,1.1.3.130,1.2.10.210:/PQRST_VMVOL48
844,1.1.3.131,3.3.11.197:/static_Log_VOL3
844,1.1.3.131,3.3.11.197:/static_Log_VOL3/cronbackup
845,1.1.3.132,3.3.11.197:/static_Log_VOL3
845,1.1.3.132,3.3.11.197:/static_Log_VOL3/cronbackup
846,1.1.3.156,3.3.11.197:/static_Log_VOL3
846,1.1.3.156,3.3.11.197:/static_Log_VOL3/cronbackup
847,1.1.3.157,3.3.11.197:/static_Log_VOL3
847,1.1.3.157,3.3.11.197:/static_Log_VOL3/cronbackup
848,1.1.3.183,1.1.3.175:/old_events_archival3
848,1.1.3.183,1.1.132.162:/old_events_archival1
